ip	browser	date	start	end	subject	velocity	accstable	accunstable	numstable	numunstable	age	gender	monitor	whattesting	howwell	strategies	background	bkgdiff	unstable	problems	calibw	calibh	durationMOT	durationExperiment
206.74.138.188	Mozilla/5.0_(Windows_NT_10.0;_Win64;_x64;_rv:65.0)_Gecko/20100101_Firefox/65.0	12/February/2019	02:11:53	02:26:44	S42226612	1.51	0.57	0.71	12	15	27	F	19 inches and 1440 x 900	I have no idea, I would assume how much one can focus with distractions. Either way I enjoyed it.	I think I did average compared to others.	I tried to continue to look only at the 4 moving targets and visualize them as shapes. Occasionally they would get lost in the shuffle but overall I think that worked pretty well.	The background images were from a college campus. Looks like a dorm room in some backgrounds and maybe a library or commons area in others.	I didn't notice any differences it seemed to be the same pictures used over and over.	Yes, I did notice that.	No trouble or problems.	1440	786	10	15
98.235.69.98	Mozilla/5.0_(Windows_NT_6.1;_Win64;_x64)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Chrome/72.0.3626.81_Safari/537.36	12/February/2019	02:45:35	02:59:01	S45773398	1.51	0.86	0.67	18	14	38	M	"27"" 2560x1440"	If I could follow the balls through the experiment and pick the correct ones.	I think I did good on the task.	I did not use any special strategies, I just tried to remember them.	The background was a forest and then it went into different areas of a school such as a class room.	I was fixated on the dots so I did not notice anything specifically.	no	no issues.	2560	1309	9	14
196.17.250.247	Mozilla/5.0_(Windows_NT_6.1;_Win64;_x64)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Chrome/72.0.3626.96_Safari/537.36	12/February/2019	02:10:25	02:31:56	S46731224	1.23	0.1	0.1	2	2	26	M	32	good job and great performance	thinking graet	yes i do it	its very nice to work keep it up	yes i listen it its difference from others	yes	no	1366	657	12	21
99.56.221.155	Mozilla/5.0_(Windows_NT_10.0;_Win64;_x64)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Chrome/72.0.3626.96_Safari/537.36	12/February/2019	02:11:12	02:24:23	S48097719	1.15	0.1	0.19	2	4	25	M	1920 x 1080	How could people can track	Alright	No	They were depictions of office settings	No	No	No	1920	937	10	13
98.235.69.98	Mozilla/5.0_(Windows_NT_6.1;_Win64;_x64)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Chrome/71.0.3578.98_Safari/537.36	12/February/2019	02:37:09	02:54:50	S53645040	1.23	0.19	0.19	4	4	36	F	"15"" 1250x650"	I think it was testing to see how smart someone is and could remember where the balls where.	I think I did well on some of them and not well on the others.	no i did not.	They seemed to be office settings.	no sorry	no	no	1600	758	11	17
65.186.20.223	Mozilla/5.0_(Windows_NT_10.0;_Win64;_x64)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Chrome/71.0.3578.98_Safari/537.36	12/February/2019	04:08:36	04:23:21	S54593395	1.65	0.29	0.24	6	5	36	M	24 1080p	How good people can track multiple objects at once.	I think I did average.	No.	Like an office or school environment.	They were in different locations.	Yes.	No.	1920	969	9	15
68.201.160.126	Mozilla/5.0_(Windows_NT_10.0;_Win64;_x64)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Chrome/72.0.3626.82_Safari/537.36_Vivaldi/2.3.1440.41	12/February/2019	04:42:07	05:00:13	S60614640	2.86	0.48	0.52	10	11	39	M	"24"", 1920x1080"	ability to focus	75.00%	don't fixate on anything in particular	black screen, then laptop	none	yes	none. cool beans	1477	716	11	18
157.51.127.165	Mozilla/5.0_(Windows_NT_6.1;_WOW64)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Chrome/72.0.3626.81_Safari/537.36	12/February/2019	02:20:31	02:55:57	S60883578	1.15	0.19	0.19	4	4	35	F	i don't know	it is a good survey. i increase my iq	good	full concentrate	first one nature, second is one laptop background	two background differents more	yes	no trouble, it's realy good	1366	657	21	35
23.89.222.250	Mozilla/5.0_(Windows_NT_6.1)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Chrome/71.0.3578.98_Safari/537.36	12/February/2019	05:00:48	05:30:23	S64814829	1.44	0.19	0.19	4	4	30	M	16.5	i have think is good experiment to the tasks and great learning for this survey	i got experience from this study and well learning to the periods	i have perfect handle this strategies of the tasks and using specific  as to getting the special strategies.	it was very well like to the background images and that the fine of this game have to played lucks.	this was difference between the across background images it has useful think into the mind game and look like well do the works	it is images of laptop to unstable in related itself and greated thing	the game will be influences to there many kind of dots and it was really great the tasks	1280	689	11	30
208.38.240.182	Mozilla/5.0_(Macintosh;_Intel_Mac_OS_X_10_13_6)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Chrome/71.0.3578.98_Safari/537.36	12/February/2019	02:16:39	02:36:14	S66040635	1.51	0.24	0.43	5	9	34	F	I'm not sure about resolution but its 14 inches I think on a Macbook Air	I'm really not sure	I think I did okay in the beginning then it got harder towards the end	no	At first it was just black screen with white dots, then it was like an office scene with a desk and a chair with a laptop on the desk and the screen was black with the white dots on it	no	no	no	1440	698	15	20
73.66.240.119	Mozilla/5.0_(Windows_NT_10.0;_Win64;_x64)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Chrome/71.0.3578.98_Safari/537.36	12/February/2019	02:11:50	02:32:45	S68718481	2.57	0.48	0.48	10	10	63	F	no idea	To see how I tracked the circles when they were together and apart	I think I did okay for the most part	I tried to keep track of all of them but sometimes only knew where three were	the lake scene and then different computers	Not really except the first was dull colors and the second were brighter	no I didn't	None	1366	768	12	21
172.11.220.144	Mozilla/5.0_(Windows_NT_6.1;_Win64;_x64;_rv:65.0)_Gecko/20100101_Firefox/65.0	12/February/2019	02:10:43	03:02:36	S6880660	1.15	0.05	0	1	0	37	M	22	don't know	don't know	NO	landscape and laptop	no	no	no	1920	872	17	52
71.58.114.154	Mozilla/5.0_(Windows_NT_10.0;_Win64;_x64)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Chrome/71.0.3578.98_Safari/537.36	12/February/2019	02:12:11	02:26:41	S69586495	1.3	0.86	0.67	18	14	36	F	27&quot; 1920x1080	attention span and focus	pretty well	I just tried to focus on the screen as a whole so I could see all four circles.	they were every day settings, such as office and dorm rooms	Just that they changed from an office, to possibly classroom, and a bedroom ocassionally	yes, some of them seemed like the computer wouldn't balance well on the edge	no	1920	938	10	14
73.2.182.75	Mozilla/5.0_(Windows_NT_6.1;_Win64;_x64)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Chrome/72.0.3626.96_Safari/537.36	12/February/2019	02:16:31	02:53:20	S76118471	2.43	0.38	0.38	8	8	44	M	not sure	I think it was testing my memory.	I think I did about average	No, I was just trying to have a clear mind and concentrate	They were different computer monitor screens.	just that they were different but similar	no	no	1366	657	30	37
68.33.30.98	Mozilla/5.0_(Windows_NT_6.1)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Chrome/72.0.3626.96_Safari/537.36	12/February/2019	02:19:58	02:33:51	S78113697	2.05	0.9	0.95	19	20	41	M	19 inches, 1680x907	The experiment was testing my tracking ability. And my stamina!	I think I was probably around 80%	I just tried to track three the best. Then I tried to follow the odd one out.	The first part was nature. The second part was a laptop in an academic office setting.	There were different books and furniture. Maybe different laptops.	No	No trouble.	1680	907	10	14
218.234.14.84	Mozilla/5.0_(Macintosh;_Intel_Mac_OS_X_10_13_1)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Chrome/71.0.3578.98_Safari/537.36	12/February/2019	02:10:47	02:51:10	S80053742	1.3	0.81	0.76	17	16	24	F	13 in, 1280x 800	not sure, but the compensation is too low	i think i did worse towards the end	No, just tried to follow the targets	didn't really notice them actually	i noticed them changing, but I don't remember the images because I was too fixated on the task	no	no	1280	721	34	41
73.163.76.95	Mozilla/5.0_(Windows_NT_10.0;_Win64;_x64)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Chrome/72.0.3626.96_Safari/537.36	12/February/2019	02:38:55	02:57:09	S82010942	1.8	0.81	0.76	17	16	30	M	1280x1024	attention span	I think I've gotten at least 65% of the trials correct.	I tried to follow the mass of the dots and if one broke off I kept it in my peripheral vision or followed it with my mouse cursor.	A collage of various office spaces.	Only the colors, I didn't pay attention to the backgrounds that much.	No.	There were no issues.	1280	919	10	19
198.37.248.193	Mozilla/5.0_(Windows_NT_10.0;_Win64;_x64)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Chrome/72.0.3626.96_Safari/537.36	12/February/2019	02:14:46	02:33:00	S8537854	1.8	0.76	0.71	16	15	35	F	17 1600*1200	being able to pay attention or distractions	Not perfect but pretty good.	No	One was a plain black image  and the others was a laptop or computer screen background.	No	No	No	1536	722	12	19
107.185.127.204	Mozilla/5.0_(Windows_NT_10.0;_Win64;_x64)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Chrome/72.0.3626.96_Safari/537.36	12/February/2019	02:13:47	02:28:55	S88089672	2.26	0.05	0.05	1	1	27	M	24 inches 1920x 1080p	i think it was testing Psychology and vision	not too well once the dots started moving quicker	im sure most of target dots would line up near each other	i do not remember	yes but i dod not remember	no	i had no issues with the experiment	1920	937	9	15
103.99.150.160	Mozilla/5.0_(Windows_NT_6.3;_WOW64;_rv:65.0)_Gecko/20100101_Firefox/65.0	12/February/2019	03:31:32	03:49:42	S89227323	2.34	0.38	0.38	8	8	42	F	21.5&quot; 1200*900	n/a	I well doing this task	no	Laptop on the table	laptop on the table edge.	yes	no	1600	764	12	18
98.5.41.247	Mozilla/5.0_(Windows_NT_6.1;_Win64;_x64)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Chrome/71.0.3578.98_Safari/537.36	12/February/2019	02:12:29	02:26:25	S90106621	1.54	0.71	0.67	15	14	47	M	24 inch 1960x1080	I think it was tracking how well we concentrate under pressure?	I think I did pretty good, I bet I got about 85% correct.	I connected the dots into an imaginary parallelogram which made it easy to block out the distractions.	textbooks and classrooms mostly.	I did not notice much difference	Yes, laptops on the edges of desks.	No it went smoothly	1920	969	10	14
24.74.120.186	Mozilla/5.0_(Macintosh;_Intel_Mac_OS_X_10_14_0)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Chrome/72.0.3626.96_Safari/537.36	12/February/2019	02:33:48	02:47:00	S90665065	1.3	0.86	0.71	18	15	24	F	15&quot;, 2,880x1,800	How good we are at memory	Pretty well, probably like 80.	No	There was a laptop one, and like a mountain range in the practice session.	I recognized it changed, but I don't remember how.	No	No	1680	838	11	14
108.195.92.66	Mozilla/5.0_(Windows_NT_10.0;_Win64;_x64)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Chrome/72.0.3626.96_Safari/537.36	12/February/2019	02:13:12	03:09:16	S90816735	1.15	0	0.05	0	1	26	M	i don't know	not sure what it was testing	i did very well	no i did not.	they were dots with a laptop	no i didn't	no i didn't	no i didnt	1366	695	12	56
38.72.144.115	Mozilla/5.0_(Windows_NT_6.1)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Chrome/72.0.3626.96_Safari/537.36	12/February/2019	02:48:27	03:40:11	S95265270	1.15	0.05	0.14	1	3	34	F	14.1inches and 1280x689pixels	Interesting and good testing	Very Well	I follow only your instructions	yes isee	No diffrents	Yes	No	1280	689	44	52
184.1.98.115	Mozilla/5.0_(Windows_NT_10.0;_Win64;_x64)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Chrome/71.0.3578.98_Safari/537.36	12/February/2019	02:38:42	02:58:32	S95656660	1.74	0.57	0.62	12	13	50	F	27 inches, 1920 x 1080	I think it was measuring concentration. It may also have been measuring ability to keep concentrating.	I think I did fairly well.	I tried to watch the pattern of where the balls went.	There was a laptop computer in a variety of locations, including on a desk.	Yes, but I cannot specifically recall them.	No	In one round, one of the correct balls stopped directly on the cross in the center and I was unable to click on it to select it.	1536	750	11	20
64.234.102.204	Mozilla/5.0_(Windows_NT_10.0;_Win64;_x64)_AppleWebKit/537.36_(KHTML,_like_Gecko)_Chrome/71.0.3578.98_Safari/537.36	12/February/2019	02:59:16	03:16:36	S99187726	1.28	0.43	0.38	9	8	54	F	1600 x 1900 I think 15&quot;	I am not sure	perhaps 40% at best	No, just attempted to use peripheral vision	Mostly a laptop sitting on a desk and I did not pay attention to other stuff. I concentrated on the dots	not really, slight changes but can't say what they were.	don't recall	no	1584	741	10	17
