ip	date	start	end	subject	velocity	accstable	accunstable	numstable	numunstable	age	gender	monitor	whattesting	howwell	strategies	background	bkgdiff	unstable	problems	calibw	calibh	durationMOT	durationExperiment
104.244.146.67	30/January/2019	01:22:47	01:34:28	S57683117	1.68	0.44	0.33	8	6	39	F	1920x969	I suppose this experiment was testing memory.	I think I did okay.	No special strategy. I just tried my best to follow the right targets.	The background images were in classrooms.	It looked like the images changed to different school rooms.	Yes.	I had no trouble with the experiment.	1920	938	7	12
67.245.49.242	30/January/2019	01:36:54	01:46:42	S58161425	2.93	0.28	0.17	5	3	21	M	1918x894	not sure	I think I did very good. I tried my best.	I did not have any special strategies, no.	The background images were not very noticeable.	I honestly did not, I was very focused on the game.	No I did not.	No I have not.	1918	894	6	10
174.53.4.82	30/January/2019	01:44:43	01:58:09	S59170352	2.24	0.78	0.78	14	14	50	F	19 inches (I think?) and 1366x768	I think you were measuring response time and attention to items on a screen.	I think I did okay after I got the hang of it.	I don't think I used a special strategy.  I just tried to keep all the dots in my view.	There were books and desks like being in a college classroom or lab.	To be honest, I can't remember what the background was in the first trials with the smiley faces.  I just noticed that the main experiment had books and things.	No.	No trouble.	1366	768	8	14
73.208.246.176	30/January/2019	01:54:44	02:04:02	S6035426	2.35	0.67	0.89	12	16	38	M	19&quot; 1440 x 900	The effect of the backgrounds on tracking ability.	I think I did well, but not perfect.	I tried not to allow myself to focus on any of the dots or I would lose track of the others.	It seemed like a library setting, but I wasn't paying much attention to them.	I noticed they were different, but not much else.	I didn't at the time, but now that you mention it, I'm not sure.	No.	1440	764	5	10
5.62.59.15	30/January/2019	01:51:51	02:08:57	S64064732	1.93	1	1	18	18	32	F	14&quot; 1366x657,  99.21dpcm	i think it is a test of psychological functioning of being focus	i think i did exceptionally well	not at all,i was just following the balls	i saw desks and shelves and i think it was in a office	the background was changing,the laptops was shifting from the tip of the table to the center	yes	no,i did not experience any sort of problem	1366	657	8	17
172.1.177.213	30/January/2019	02:32:56	02:47:11	S65513365	2.55	0.89	0.89	16	16	35	M	13.5 inches 1600*900	I think it's about how long we could keep our concentration.	Maybe I did average.	I didn't use a special strategy, I just kept track of the dots.	The background images where changing but I was too focused on the dots to notice anything in particular.	I did not notice it.	yes somewhat.	no trouble.	1600	827	7	15
203.223.191.154	30/January/2019	01:21:41	01:50:17	S67758448	1.55	0.67	0.67	12	12	29	M	16&quot;,1920 x 1080	It tests our concentration and involvement.we can increase our memory power by doing this study.This study is very useful to me.	I done this study with more concentration.	No i don't use strategies to complete this task.I did only with my concentration.	The background image is nice to see.It look like working location.	There is the difference in background for trail and the background for test vary.	No	No i didn't feel trouble to complete this study.It is easy to finish the task.Some times the dot moved speed.I managed in that kind of situation.	1366	667	6	29
69.122.5.28	30/January/2019	01:23:14	01:33:52	S68810319	2.14	0.94	0.83	17	15	37	M	24 inches, 1920 x 1080	my ability to follow the dots	I think I did pretty well.	I just tried to focus on as many of the target dots as I could until one or two left my line of sight.	It was a computer monitor in different settings around an office or house.	The monitors were placed in different places around a house or office.	Yes I did.	No issues.	1920	938	7	10
68.174.180.220	30/January/2019	01:22:35	01:37:20	S69865482	2.05	0.72	0.61	13	11	32	M	12.3 in macbook air, 1280x720	Peripheral vision among different backgrounds. Also whether feedback influences the former.	I think I did well- not perfect but still good.	Focus on two or three dots at a time and find the clusters	White background at first and the other is a classroom with textbooks	Yes. Some had a table. Some had textbooks	I didn't pay attention to this.	No.	1440	826	8	15
184.54.162.34	30/January/2019	03:29:47	03:41:23	S70094191	3.22	0.72	0.61	13	11	38	F	15 inch monitor, 1366 x 768 resolution	I'm not sure exactly what this experiment was testing, maybe my attention to the target objects vs the different backgrounds?	I think I did pretty decent during this study.	I didn't use any special strategies, I just continued to keep my eyes focus on where the fixation cross was and follow the target objects using my peripheral vision.	There were different laptops and computers in the background.	I think the type of computer or laptop changed but I'm not certain.	I did not notice that some of the scenes in the images looked unstable	I did not experience any trouble with the experiment.	1293	697	6	12
76.179.76.7	30/January/2019	01:29:48	01:43:31	S72925333	3.99	0.56	0.67	10	12	42	M	1024x768	To see how if the display was integrated into the background(laptop) it would change my times(slower I think) due to not being able to stick to the center, whereas, with the lake view,you can tune out the background maybe even focus more, since they aren't related or integrated.	I think I did much better than average.	I found you had to follow the many, letting the stray go. But, you could follow the 3 with your eyes, and follow the 4th stray with your head and peripheral.	The first was a lake. The second was a laptop on a table.	One was completely unrelated. The other included the display box in the image.	no.	No trouble. Seemed like next to last trial may have lagged a bit.	1280	920	6	14
100.35.151.99	30/January/2019	01:32:45	01:48:28	S73772545	2.93	0.67	0.5	12	9	33	F	Resolution is 1920 x 1080, monitor is 32&quot;	I think it was checking for perception or something, but I'm not really sure. It could have been checking to see how well people focus on things when the background changes, because I did find I had a much harder time when the background changed.	I think I did pretty well, but I'm not fully sure.	Not really special, but I did try to focus on the + in the center and let my peripheral vision sort of keep track of the balls. The hardest was when they moved fast after colliding.	Mostly the background images were of work spaces and desks. One of them had the computer sitting at the very very edge nearly falling off.	One of them had the computer almost falling off the edge, and I found that very distracting. The images that weren't of the outdoor scenery were harder.	Yes! It really upset me and I found it pretty distracting throughout, even though I knew it wasn't real and the computer wouldn't fall.	No trouble at all.	1920	938	7	16
76.117.182.123	30/January/2019	02:09:16	02:25:19	S79457559	3.01	0.28	0.39	5	7	31	F	20-inch, 1680x912	It was probably about testing our concentration and may have had something to do with multitasking. However, not really sure.	I probably did reasonably well but I am don't know for certain.	None	I did not really notice the background as much but it did show a monitor screen on a dark backround.	Not really	No	None	1680	917	10	16
131.93.134.41	30/January/2019	01:24:26	01:33:09	S81737180	2.07	0.89	0.78	16	14	24	M	24 1280	not to sure sorry.	I feel like I did a rather well job.	none.	A computer and I think a lake.	none	no not really I was more focused on the cross.	no i did not.	1920	969	6	9
100.15.31.79	30/January/2019	02:59:36	03:11:39	S86044977	2.03	0.39	0.61	7	11	34	F	29 in 2560 x 1080	Following dots with my eyes.	I did terrible, I'm sure.	no	Books, library setting.	no	no	no	1547	954	7	12
69.137.68.8	30/January/2019	01:33:34	01:52:59	S88142324	1.93	0.67	0.44	12	8	67	F	1920x1080	Maybe it was to see how many of the target circles we could follow consistently. Even on the trials I usually only got 3 correct, so I don't know if I got better or worse. Maybe you are testing age and gender too to see who does better.	I feel like I got about 75% right on most trials, but some I might have lost track of 3 of them.	If I could have thought of a strategy I would have used it, but I had none. I just tried to focus and concentrate.	A laptop was on a desk in what looked like a lab or office. Sometimes the laptop was directly on the desk and sometimes it was off to the side and not completely on the desk (would have fallen in reality).	I tried not to look at the background. The only thing I noticed is that the laptop was on or partly off the desk.	yes	no trouble at all	1280	720	8	19
71.40.11.54	30/January/2019	01:36:43	01:56:33	S89471915	3.14	0.67	0.78	12	14	30	M	15 inches size and 1920x1080 pixes.	about the attentiveness of the person.	i think i did fairly good.	i tried to focus the four circles by dividing them in to two groups.	the back ground images are quiet clear and at some times they distracted my concentration.	no i didn't notice any big difference.	no they were stable.	no it was an highly interesting experiment.	1536	754	10	20
174.236.157.218	30/January/2019	01:22:01	01:48:33	S94282887	2.34	0.67	0.61	12	11	54	F	1600x900 2000 pixels	A Person's ability to think quickly in certain situations, and to be able to improve memory. alzheimer's is a big problem medically in our country today, and I feel like this experiment was testing it some ways.	I'm not completely sure but I feel like maybe 45%. This has been one of my favorite studies , I feel like it challenged me mentally	I found that watching three targets at once , the fourth target was in the corner of my eye and I was able to watch better. Also the faster I moved to the next screen I felt the moire accurate I became in choosing the targets	The first one was tree's a lake a very pretty setting. I honestly can't remember the second one because I was concentrating on the targets more .	I remember the first one was more relaxing with the outdoors , trees and lae. The second seemed more abstract and distracting to me , but I cant remember it well.	no I did not, I was completely focused on the target. seeing the picture again I remember it more clearly	my vision got blurry a couple times but overall everything was fine	1600	789	8	26
103.5.2.134	30/January/2019	01:41:13	02:05:16	S95925104	3.14	0.61	0.22	11	4	37	M	15.6&quot;, 1920x1080	being distracted by the laptop hanging on the edge of the table?	pretty decently, maybe above average	no, just trying to focus and avoid getting distracted	laptops on various tables and desks, sometimes squarely on them, sometimes about to fall off	see above	yes	no	1920	975	11	24
