ip	date	start	end	subject	velocity	accstable	accunstable	numstable	numunstable	age	gender	monitor	whattesting	howwell	strategies	background	bkgdiff	unstable	problems	calibw	calibh	durationMOT	durationExperiment
184.6.77.57	21/January/2019	02:12:39	02:28:53	S99949253	3.3	0.44	0.78	8	14	46	F	15.6&quot; screen	movement tracking	Medium, seeing a laptop so close to the edge of a table was very distracting to me as a mom.	Just tried to let my eyes watch the whole screen at the same time and not follow just one dot.	Classrooms, lab rooms maybe. The desks changed and the position of the laptop on the surface moved.	No, I did not notice differences in the images across trials.	Yes	NO	1302	666	8	16
185.242.5.228	21/January/2019	02:28:49	02:46:24	S50309856	3.1	0.22	0.11	4	2	29	F	1366x662	very interested in survey	very good	careful looking this part so very easy	nice	different colors	system is unstable	nice experience	1422	688	12	18
198.96.95.177	21/January/2019	03:12:25	03:23:33	S65921660	3.48	0.67	0.56	12	10	45	M	1280*768	Nice study, mind blowing	i am doing well in this task	no	laptop on the table	yes, laptop is in different positions.	Yes	Nope.	1366	768	6	11
216.164.62.42	21/January/2019	04:08:14	04:23:22	S29360200	2.19	0.78	0.67	14	12	51	F	21&quot;, at least 1250x650 (standard Mac display, don't have exact numbers in front of me)	I think this experiment was testing attention and fatigue after a certain number of repetitions. Perhaps different people saw different things.	I think I did better than the average person.	I just tried not to focus on only one of the balls but tried to see all 4 at the same time. It wasn't easy!	The background images were an office setting, on a laptop screen.	Yes. The first trial had an outdoor background. The second trial had an office background.	I think the laptop looked a bit unstable but I don't recall that it looked quite this unstable. Maybe it did...	No	1812	867	7	15
23.119.201.59	21/January/2019	02:11:38	02:23:29	S11911792	3.7	0.44	0.22	8	4	39	F	17 inch screen 1600 x 1200 resolution	conentration and peripherals	mediocre	no	mountain view then computer office view	no	no	no	1536	750	7	12
23.125.44.89	21/January/2019	02:16:28	02:31:55	S6297049	1.93	0.78	0.83	14	15	40	F	27 inches 1250x650	I think it is testing vision. To see if the average human eye is capable of seeing different objects that it is not fully focused on.	I think I did pretty well. Not a 100% though, but maybe like 80% correct or maybe even more.	No special strategies except to just try to open up my vision and not concentrate on one particular area.	It was located in an office space with a kitchen and coffee set up off to the side.	I noticed the same image but sometimes it was closer or farther away and I noticed the laptop shifting to the side.	yes	no	1343	978	7	15
24.116.102.196	21/January/2019	02:57:14	03:06:35	S59862749	5.46	0.56	0.78	10	14	25	M	21, 1920 x 1080	I'm not sure but probably just memory or something.	I think I did pretty good.	Just tried to focus on the 4 circles.	The first was trees I think and the second was a computer.	Just that they were different images.	no	no	1536	762	6	9
45.36.92.189	21/January/2019	03:21:26	03:42:25	S96598015	3.21	0.17	0.22	3	4	34	M	i adjusted it for the task	i think maybe attention	i think i did okay	no	i honestly did not pay attention to the backround	i only notice it became a laptop later on	no	no trouble	1518	738	13	21
50.83.46.151	21/January/2019	02:25:12	02:39:42	S10129162	1.91	0.78	0.67	14	12	51	F	24 1680 x 1050	I think it was concentration.Also attentivenes.	I think I did pretty good.	no, just following with my eyes.	it was a image of a laptop screen.	The first one I didnt really notice anything but a screen. Second one was a laptop image.	No I did not, I was concentrating on the dots.	NO issues.	1331	681	8	14
65.27.193.156	21/January/2019	02:45:22	02:55:29	S26875520	2.14	0.61	0.61	11	11	37	F	1920x1080	Honestly, really no idea. Something tracking objects grouped together?	Not really sure. I hope I did well, it hurt my eyes.	I tried to keep an eye on the clustered ones and watch the single one out of the corner of my vision.	Did not even really notice the background images. I was watching the circles.	Did not notice anything.	No I did not.	No trouble.	1536	754	6	10
66.196.11.56	21/January/2019	03:19:16	03:34:35	S89621953	3.01	0.56	0.67	10	12	23	W	i dont remember 1500x700 ish and im not sure but can play hd beautifully. its msi glrmd62 or something	Perception of some sort. Other than that i dont know.	Average, same as others or slightly better or worse but close to average.	None, i just tried to keep track.	The first one was mountains and the second one was variations of a laptop in an office setting.	Yes some desks were more yellow and some office/room locations were more distracting as in there were more things on the desk.	No i didnt.	No but in the beginning of the second phase i thought the directions changed so it distracted me in the beginning.	1536	863	8	15
67.164.179.247	21/January/2019	02:19:07	02:33:32	S79114219	1.84	0.94	0.89	17	16	34	M	19&quot;, 1440x900	I think you were testing people's ability to stay focused on a task.	I think I did very well during the study.	I simply stayed focused on the task and tried my best to keep track of the circles I was supposed to track.	I think that both of the backgrounds were in classrooms.	I didn't notice any differences.	Yes.	N/A	1440	796	7	14
67.245.12.9	21/January/2019	02:22:49	02:35:29	S9081786	4.22	0.67	0.61	12	11	48	M	I dont remember	I dont know	I did average	I tried to look at the whole picture.	One was a lake scene and the other an office	I only noticed that the scenes were different.	no	none	1421	723	8	13
67.246.179.204	21/January/2019	02:16:21	02:28:54	S75099320	1.32	0.22	0.28	4	5	35	M	1900 x 1200 pixels	I'm really not sure. I'd assume that this experiment was testing the impact of the background on following the dots successfully.	Not that great - I'm generally not good at these types of tasks.	I would generally concentrate on 2-3 of the balls and be lost when it came to the fourth.	All I remember were various computer/office backgrounds.	I don't remember any of the specific differences, I just know there were differences.	Yes.	No.	1920	966	6	12
67.254.210.204	21/January/2019	02:11:00	02:23:52	S41961657	1.2	0.33	0.5	6	9	41	F	1920 x 1080  20&quot;	this was an interesting and fun experiment.	Don't think performed that great.	no	Background image was black with very small circles moving around dark area	no	no	no	1600	758	7	12
68.104.222.55	21/January/2019	02:36:35	02:47:19	S50112575	4.08	0.11	0.17	2	3	35	M	27 inch 1920x1280	I think it was testing the ability to track objects.	I think I did very good.	No	They were images from a hospital.	Yes, they were changing but they looked pretty similar.	No	No, I didn't...	1920	1007	7	11
68.43.19.196	21/January/2019	02:11:54	02:26:35	S28779171	1.16	0.33	0.5	6	9	52	F	17 inch.  unsure of resolution in pixes.	attention	I'm not very confident	Tried to focus on the middle of the screen	I don't remember what the first screen was.  All I remember of the second screen was a lap top screen.	I didn't notice anything different.  I was more focused on the flashing dots.	No I didn't notice that at all.	No trouble	1600	758	6	15
68.62.10.172	21/January/2019	02:35:22	02:45:15	S58294098	1.93	0.72	0.44	13	8	28	M	21,1080p	how well people follow dots moving	good at first then decreasing as I did more and my mind wandered	no	a laptop with the dots inside the laptops screen	not for the 36 no	no	no	1920	938	7	10
70.123.32.228	21/January/2019	02:10:08	02:21:00	S97570972	3.58	0.89	0.78	16	14	48	F	17 in, 1080 p	Probably how good you are at processing what is happening on the screen, your spatial ability.	I got 100 percent I think.	No special strategy, just focus.	Different classroom settings.	No difference.	The  laptop is on the edge.	No trouble.	1536	754	7	11
70.189.219.67	21/January/2019	02:11:34	02:23:04	S37183689	1.76	0.89	0.89	16	16	34	M	27 inches, 1440p	i don't know. i would have to guess some kind of memory type thing.	i think i did pretty good	no, i just stared at the cross and followed the dogs as best i could.	One was some kind office and the display was in the computer monitor. and the other one was something in the water? like an island vacation type thing.	no i was totally focused on the boxes with the dots to notice any subtle changes to the backgrounds	no i did not	i had no trouble	1278	1020	7	12
71.112.195.217	21/January/2019	03:26:17	03:35:33	S80734457	2.72	0.72	0.89	13	16	40	F	15 inches 1300 x 700	I think it was testing attention span	I think I did above average.	I just tried to keep my eye on the dots.	The background was a laptop in an office environment.	I didn't notice any differences.	no	I had no issues	1536	754	7	9
71.233.121.19	21/January/2019	03:32:24	03:44:26	S3341917	3.63	0.72	0.61	13	11	41	M	24 inch, 1920 by 1080	I think this experiment was about being able to track multiple moving objects.	I think I got about 95% correct	I did not use any special strategies.	I think the background images were lab rooms. I really wasn't paying too much attention to them and was trying to focus on the moving dots.	Yes, they seemed to change.	I don't know what you mean by unstable.	No trouble. Everything loaded fine and the instructions were easy to understand.	1920	1058	7	12
71.4.186.157	21/January/2019	02:18:05	02:28:38	S72672209	1.64	0.94	0.94	17	17	60	F	21&quot; 1600*900	Very good experiment, i want more studies in future.	I think well performed in this task.	no	Macbook on the table.	yes, background was changed.	NO	NO	1600	758	6	10
72.24.233.212	21/January/2019	03:49:10	04:02:21	S23114413	4.79	0.94	0.89	17	16	28	M	24 inch, 1920x1080	understanding how accurate people can follow multiple moving objects.	I think I did above average.	no	image of an office or classroom like background. I didn't focus on the background too much.	none	no	none	1920	938	6	13
73.184.74.53	21/January/2019	02:35:51	02:49:16	S28473167	2.91	0.83	0.94	15	17	45	F	25&quot;, 1280*882	i really don't know. maybe my spatial awareness?	i think i did moderately well.	no, not really. i just didn't focus on anything in particular.	i didn't pay too much attention, but seemed like an office settting	i think the office settings changed	no	no, i didn't	1536	723	9	14
74.66.215.59	21/January/2019	03:18:02	03:26:33	S7033679	3.14	1	0.83	18	15	29	M	23	To understand how people can keep their attention focused on moving objects depending on the background.	I think I did pretty well.	I did not use any special strategies.	It was a desk with a computer on top of it.	No, none.	No, I did not.	No, I did not have any trouble with it.	1920	938	6	8
96.8.121.249	21/January/2019	03:16:38	03:29:55	S67409083	1.55	0	0	0	0	29	M	1080	good	nice	no	good	no	no	no	1364	657	9	13
97.94.67.192	21/January/2019	02:13:15	02:32:02	S89635714	2.85	0.22	0.28	4	5	38	M	21 inch, 900	Ability to follow dots.	I think I did just okay.	I tried to focus on at least 3 then catch the 4th with the corner of my eye.	The first background was all black if I remember right.  Second was an office style setting.	Second there was an office image before I believe it was just black.	NO	No I did not.	969	11	19	
98.103.153.65	21/January/2019	02:10:08	02:23:22	S59978988	1.78	0.67	0.83	12	15	38	F	21 - 1600x900	I have no idea. It was fun though.	I did okay but not great.	No. I just tried to follow the dots.	The first was an outdoors scene. The second was a laptop screen.	No, I didn't. I did like the smiley faces in the first one though.	Yes, I did.	No, I didn't.	1600	789	8	13
98.117.242.99	21/January/2019	02:20:38	02:35:01	S80018065	4.58	0.39	0.39	7	7	42	M	1360 x 768	I believe it was a test of types of feedback (to include timing) and performance.  I also thought it might be testing time on task to performance.	I think I got a little better as the study went on and I developed a technique to try and track the correct dots.	I noticed I started to focus not on 4, but on 3 of the dots in cases where I saw that 3 dots seemed to me moving in the same general area.  I eventually started to almost disregard the 4th dot.	I noticed an office setting at the beginning, but after that I could tell you if the office setting changed or not, I really only noticed the computer screen that contained the dots.	I really didn't notice the background at all.  Kind of interesting but I really only saw the computer screen (the computer screen that held the dots.	No, I did not.	No troubles.	1360	651	6	15
