ip	date	start	end	subject	velocity	accstable	accunstable	numstable	numunstable	age	gender	monitor	whattesting	howwell	strategies	background	bkgdiff	unstable	problems	calibw	calibh	durationMOT	durationExperiment
100.2.183.109	17/January/2019	02:48:13	03:09:01	S60132600	2.5	0.44	0.44	8	8	33	F	16 inches 1920 x 1080	I think the experiment was testing how distracted we get when we have to focus on multiple moving objects.	I think I did fairly well.	I tried to take notice of groups of 3 and estimate where the 4th circle was	a landscape scene with water and a laptop on a desk	I didn't notice any major differences, aside from the fact that there were two different pictures.	no	I did not experience any trouble with the experiment	1920	969	11	21
75.133.63.192	17/January/2019	03:36:07	03:58:23	S64195260	1.64	1	0.89	18	16	48	M	15.6&quot;, 1920 x 1080	I'm not sure, maybe ability to track objects on various sizes and resolution monitors.	I think I did alright, compared to average.	I just tried to look at the whole screen and did not focus on any individual elements of the scene.	The first one was very plain, the second one seemed to emulate a kid's room and the study was displayed on a picture of a Macbook	I did not notice any differences in any of the trials, except for the transition from the plain background to the simulated Macbook.	No, maybe there was some of that in some of them but since it was simulated it didn't bother me enough to allow the instability to register on a conscious level.	No, everything seemed to run exactly as it was supposed to run.	1536	750	15	22
174.199.91.211	17/January/2019	02:26:57	02:38:22	S64969625	4.04	0	0.22	0	4	29	M	I don't know	I don't know	I don't know	no	Some type of office	They changed	No	No	1848	1392	6	12
71.197.160.59	17/January/2019	03:41:06	03:57:31	S68666646	2.12	0.78	0.89	14	16	50	F	15&quot; monitor, I'm not sure of the pixels	attention span?	I think I did well.	I tried to blur out the other dots and just focus on the moving ones.	black and a laptop with a cursor.	The second background had a cross that we were told to focus on.	no	No, I didn't encounter any issues.	1366	654	10	16
50.244.218.70	17/January/2019	02:30:57	02:41:25	S73951904	3.22	0.61	0.72	11	13	27	M	1366 x 768	I think the experiment was testing the perception of peripheral vision. It aimed to see if someone can track objects not in their direct line of sight.	There were a few mistakes, but I feel I did pretty well.	I tried to view all objects at the same time by zoning out in the middle of the pattern. I tried not to follow one specific dot the whole time.	The first background image was a nature setting. The second was a laptop in an office setting.	The only difference I noticed was the nature vs. office change that occurred.	No, I did not notice that.	No trouble was encountered.	1366	657	5	11
70.92.97.95	17/January/2019	02:43:17	02:55:49	S78348232	3.01	0.61	0.83	11	15	37	M	1280x780	I'm not sure I'm guessing something to do with peoples ability to track multiple objects and split their attention between them.	I did pretty well and got all 4 in most of the rounds.	I let my vision go kind of out of focus and tracked the general movement of all 4 at once instead of trying to switch my focus around between them.	They looked like various office spaces.	I noticed they looked different but was too busy focusing on the task at hand to pay much mind to the details.	no	no	1280	664	7	12
24.46.117.154	17/January/2019	02:41:17	03:20:28	S78404934	1.03	0.06	0	1	0	29	M	27	Not sure	Pretty good	No	Lake	No	No	No	1473	1486	6	39
67.245.212.31	17/January/2019	02:50:51	03:03:12	S83730693	2.07	0.61	0.44	11	8	41	M	1080 27INCH	How we can follow dots on the screen	I think that I did rather well. I was completely focused and enjoyed the task very much. Challenging!	I tried to look for a pattern	They were common office/desk images. One of them being an outdoor one	I really did not concentrate on the backgrounds. I know they changed after each round	no	No issues	1920	948	7	13
12.15.136.25	17/January/2019	02:47:41	02:58:42	S85770499	1.64	0.78	0.67	14	12	26	M	1920*1080, 21 inch display	I think it was testing how we can track dots. The setting changed, so maybe that was testing something different too? I dont know	I think I did pretty well.	I did not, i just tried to follow to the best of my ability.	The first one was a snowy mountain and the second set rotated through different office settings.	Yes, the location in the office changed throughout.	No	No I did not.	1536	733	7	11
24.13.174.184	17/January/2019	02:53:48	03:04:12	S87667865	2.14	0.56	0.72	10	13	25	F	22' 1920 x 1080	How well people can focus on multiple objects	I think I did fairly well overall.	No	The first one was a forest scene and the second was a laptop in a dorm room	No	No	No	1920	938	6	11
199.119.30.10	17/January/2019	07:03:29	07:17:10	S95286034	4.4	0.33	0.28	6	5	35	F	19&quot;, 1920 x 1080	How different backgrounds affected the ability to track objects.	I did pretty well, usually three out of four.	I just kept my eye on the whole screen instead of trying to focus on any individual object.	I don't remember the first background. The second was a standard office desk.	I don't remember the first background, but it was different from the second, which was a desk.	No.	No.	1440	767	6	14
